Decoy,HostName,Failure Rate,New Flows,Failed Decoys
141.211.4.12,remotesupport.it.umich.edu,0.23214285714285715,129,39
141.211.202.153,si.umich.edu,0.23220973782771537,205,62
141.211.160.111,mcommunity-dev.umich.edu,0.23228346456692914,390,118
141.217.20.109,crsctrain.med.wayne.edu,0.2323943661971831,109,33
198.111.214.27,sisd-mcsb-lstbridge2a.sisd.cc,0.23243243243243245,142,43
141.217.20.236,ep.ovpr.wayne.edu,0.23244147157190637,459,139
141.211.182.207,www.lsi.umich.edu,0.23273657289002558,300,91
141.211.55.64,staging.locuszoom.org,0.2328767123287671,224,68
35.9.123.6,fw-ats.bric.msu.edu,0.2328767123287671,56,17
141.214.2.91,internhealthstudy-qa.med.umich.edu,0.23300970873786409,79,24
141.211.217.97,v1.tips4health.org,0.23333333333333334,299,91
198.111.176.72,blackboard.wccnet.edu,0.2334293948126801,266,81
161.57.100.5,vpnext.ferris.edu,0.23357664233576642,105,32
141.212.113.162,sabine.eecs.umich.edu,0.2335958005249344,292,89
164.76.158.224,www.emich.edu,0.23363544813695872,761,232
35.9.123.44,fw-ats.bric.msu.edu,0.23376623376623376,59,18
198.111.214.21,sisd-tc-lspolicy1a.sisd.cc,0.23380281690140844,272,83
141.211.3.59,www.dsc.umich.edu,0.23404255319148937,180,55
141.218.143.20,*.cs.wmich.edu,0.23426573426573427,438,134
141.214.172.204,vidyo-1.umms.med.umich.edu,0.234375,98,30
141.211.4.221,repo.miserver.it.umich.edu,0.234375,98,30
141.211.3.63,www.dsc.umich.edu,0.2345679012345679,186,57
141.211.7.146,*.dsc.umich.edu,0.23478260869565218,88,27
208.68.25.124,www.remc1.net,0.23481781376518218,189,58
141.213.3.180,bookalive.io,0.23497267759562843,140,43
141.211.217.44,ihost3b.engin.umich.edu,0.23501577287066247,485,149
141.211.186.145,a2guide.sites.uofmhosting.net,0.23529411764705882,533,164
141.211.216.209,msetup-ilab.miserver.it.umich.edu,0.23529411764705882,117,36
136.228.36.93,www.powerschool.kpschools.com,0.23529411764705882,104,32
141.211.4.206,myginutrition.com,0.23529411764705882,65,20
141.218.253.30,govpn.test.wmich.edu,0.23529411764705882,65,20
204.38.48.101,ps.kingsford.org,0.2353823088455772,510,157
