Decoy,HostName,Failure Rate,New Flows,Failed Decoys
Daily Average,*,0.10427058421592074,314616,36624
35.9.18.7,Unknown,0,9,0
35.8.12.116,Unknown,0,8,0
35.9.189.5,Unknown,0,8,0
35.8.7.133,Unknown,0,6,0
35.8.7.154,Unknown,0,6,0
35.8.152.36,Unknown,0,5,0
35.8.53.38,Unknown,0,5,0
35.8.48.200,Unknown,0,4,0
35.9.12.9,Unknown,0,4,0
192.122.184.166,Unknown,0,4,0
35.8.140.59,Unknown,0,3,0
35.8.7.98,Unknown,0,2,0
35.8.225.175,Unknown,0,1,0
35.8.29.86,Unknown,0,1,0
35.12.130.113,eamcweb3.usfs.msu.edu,0.0005698005698005698,3508,2
35.9.14.71,apps.d2l.msu.edu,0.001279863481228669,2341,3
35.9.37.59,zimbra.egr.msu.edu,0.001405152224824356,2132,3
35.8.234.101,bierdoctor.com,0.0014749262536873156,2031,3
35.8.133.113,bps.broad.msu.edu,0.0018105009052504525,1654,3
35.8.164.160,beacon-center.org,0.0020253164556962027,1971,4
35.8.223.9,as-archives.lib.msu.edu,0.002616088947024199,3050,8
35.12.4.20,vdi-a-cs.campusad.msu.edu,0.0026195153896529143,1523,4
35.8.100.239,s7.lite.msu.edu,0.0028625954198473282,1045,3
35.8.12.219,www.selfcheck.webapp.msu.edu,0.0029708853238265003,1678,5
35.8.224.171,web6.cal.msu.edu,0.00303951367781155,2952,9
35.8.12.120,webhosting4.itservices.msu.edu,0.003246753246753247,2149,7
35.8.12.177,itservices.msu.edu,0.0032649253731343282,2137,7
35.9.97.241,feig.bch.msu.edu,0.0035211267605633804,1415,5
35.9.15.134,webhosting4.itservices.msu.edu,0.003566333808844508,1397,5
35.8.223.223,img.lib.msu.edu,0.003575685339690107,2508,9
35.8.12.75,webhosting3.itservices.msu.edu,0.0035955056179775282,2217,8
35.8.12.162,spartanpartners.msu.edu,0.003656307129798903,1090,4
35.8.12.26,webhosting3.itservices.msu.edu,0.003695150115473441,2157,8
35.8.26.21,calendar.chemistry.msu.edu,0.0037641154328732747,1588,6
35.8.7.153,tfm.msu.edu,0.0038880248833592537,1281,5
35.8.152.216,agris-knowledgebase.org,0.0038888888888888888,1793,7
35.8.7.161,adminsv.msu.edu,0.004081632653061225,2928,12
35.8.100.238,s6.lite.msu.edu,0.004153686396677051,1918,8
35.8.223.56,cutt.lib.msu.edu,0.004155844155844156,5751,24
35.8.12.54,webhosting4.itservices.msu.edu,0.004178272980501393,1430,6
35.8.12.227,webapp.msu.edu,0.004191616766467066,1663,7
