Decoy,HostName,Failure Rate,New Flows,Failed Decoys
Daily Average,*,0.10236421913135531,305259,34811
35.9.48.123,Unknown,0,9,0
35.8.152.36,Unknown,0,7,0
35.9.37.60,Unknown,0,6,0
35.9.18.66,Unknown,0,6,0
35.8.7.133,Unknown,0,6,0
35.8.48.200,Unknown,0,6,0
35.8.140.59,Unknown,0,5,0
35.8.12.116,Unknown,0,5,0
35.9.18.7,Unknown,0,4,0
35.8.7.98,Unknown,0,4,0
35.9.12.9,Unknown,0,4,0
35.8.53.38,Unknown,0,2,0
35.9.179.93,Unknown,0,2,0
192.122.184.166,Unknown,0,2,0
35.8.29.86,Unknown,0,2,0
35.9.189.5,Unknown,0,1,0
35.9.123.23,Unknown,0,1,0
35.8.12.4,Unknown,0,1,0
35.9.97.144,msmc-sync.glbrc.org,0.0014563106796116505,2057,3
35.8.7.176,nscl.msu.edu,0.0020876826722338203,1434,3
35.9.14.71,apps.d2l.msu.edu,0.002130681818181818,1405,3
35.8.12.220,usysprd702a.itservices.msu.edu,0.0021413276231263384,2796,6
35.8.100.233,loncapa.msu.edu,0.0022091310751104565,2710,6
35.12.4.31,vdi-a-cs.campusad.msu.edu,0.0025188916876574307,1584,4
35.8.12.210,itastst701a.itservices.msu.edu,0.0026219192448872575,1902,5
35.9.189.95,sportcamps.msu.edu,0.002664890073284477,1497,4
35.8.12.122,webhosting4.itservices.msu.edu,0.003178639542275906,1568,5
35.12.4.12,vdi-a-cs.campusad.msu.edu,0.0036101083032490976,1380,5
35.8.100.237,s5.lite.msu.edu,0.0037257824143070045,2674,10
35.8.12.165,webhosting10.itservices.msu.edu,0.003757044458359424,1591,6
35.8.32.49,events.frib.msu.edu,0.003808487486398259,1831,7
35.9.188.190,shop.recsports.msu.edu,0.00390625,2040,8
35.9.37.190,mail.egr.msu.edu,0.00398406374501992,1000,4
35.8.48.41,helmholtz.psy.msu.edu,0.004157339302846178,3114,13
35.9.188.100,sr.rhs.msu.edu,0.004170141784820684,1194,5
35.8.12.113,webhosting12.itservices.msu.edu,0.004389815627743635,1134,5
35.8.224.171,web6.cal.msu.edu,0.0044444444444444444,1568,7
35.9.20.217,*.cse.msu.edu,0.004524886877828055,1540,7
35.8.12.88,inclusion.msu.edu,0.004541326067211626,3288,15
35.9.250.37,vpn.msu.edu,0.004595588235294118,2166,10
35.8.12.227,webapp.msu.edu,0.004596191726854892,1516,7
35.8.12.100,webhosting4.itservices.msu.edu,0.004648460197559558,1713,8
35.8.223.223,img.lib.msu.edu,0.004915346805024577,1822,9
35.8.29.87,broadcast.alert.msu.edu,0.005017921146953405,1388,7
35.8.7.190,webhosting6.itservices.msu.edu,0.005020538566864446,2180,11
35.8.12.179,www.webhosting2.itservices.msu.edu,0.0050729232720355105,1569,8
35.9.15.154,www.webhosting2.itservices.msu.edu,0.005082592121982211,783,4
35.8.223.35,libproxym.lib.msu.edu,0.005084745762711864,1761,9
35.9.102.119,login.isp.msu.edu,0.005188679245283019,2109,11
35.8.224.69,dev.celta.msu.edu,0.005199306759098787,1148,6
35.9.12.42,wiki.hpcc.msu.edu,0.00533175355450237,1679,9
35.12.4.20,vdi-a-cs.campusad.msu.edu,0.0054017555705604325,1473,8
35.8.32.68,xenappdev-sf01.frib.msu.edu,0.0054694621695533276,1091,6
35.8.12.20,webhosting4.itservices.msu.edu,0.00550314465408805,1265,7
35.8.7.161,adminsv.msu.edu,0.0056022408963585435,1775,10
35.8.164.160,beacon-center.org,0.005755947812739831,2591,15
35.8.100.238,s6.lite.msu.edu,0.005761843790012804,1553,9
35.8.12.202,www.webhosting2.itservices.msu.edu,0.005805515239477504,685,4
35.8.100.231,s3.lite.msu.edu,0.005936675461741424,1507,9
35.9.188.251,digitalsigns.rhs.msu.edu,0.005958291956305859,1001,6
35.8.12.67,cosmetic.msu.edu,0.005977011494252874,2162,13
35.8.12.251,www.webhosting2.itservices.msu.edu,0.005980861244019139,1662,10
35.8.12.168,webhosting4.itservices.msu.edu,0.006035003017501509,1647,10
35.8.7.186,ezproxyauth.ats.msu.edu,0.0061118946873530795,2114,13
35.8.133.141,www.accounting.broad.msu.edu,0.006112469437652812,813,5
35.8.12.211,webhosting4.itservices.msu.edu,0.006477732793522267,1227,8
35.9.75.201,mail.msu.edu,0.0065,1987,13
35.9.86.45,prtg.hc.msu.edu,0.0065252854812398045,1218,8
35.8.12.219,www.selfcheck.webapp.msu.edu,0.006662225183211193,1491,10
35.8.12.98,webhosting11.itservices.msu.edu,0.006751054852320675,1177,8
35.8.7.168,webhosting6.itservices.msu.edu,0.00683371298405467,1744,12
35.8.196.10,hubble.plantbiology.msu.edu,0.006878761822871883,1155,8
35.8.152.216,agris-knowledgebase.org,0.0068792995622263915,1588,11
35.8.234.101,bierdoctor.com,0.006932409012131715,1146,8
35.8.33.108,wikihost.nscl.msu.edu,0.006952491309385863,857,6
35.9.20.106,*.cse.msu.edu,0.007046388725778039,1691,12
35.9.11.130,spartanarchive.msu.edu,0.007054673721340388,1126,8
35.8.223.216,uasapi.lib.msu.edu,0.0071174377224199285,1395,10
35.8.100.229,s1.lite.msu.edu,0.007304601899196494,1359,10
35.8.12.154,webhosting10.itservices.msu.edu,0.007331378299120235,1354,10
35.8.12.120,webhosting4.itservices.msu.edu,0.007371007371007371,1616,12
35.9.12.12,webservices.hpcc.msu.edu,0.007444168734491315,800,6
35.8.224.107,camps.cal.msu.edu,0.007454739084132056,932,7
