35.8.12.81,1,2
141.216.10.132,8,16
198.111.162.254,12,24
35.9.68.178,1,2
141.211.229.135,7,16
141.211.55.58,0,2
207.190.191.187,1,2
141.214.120.41,1,2
142.54.13.42,2,4
141.211.217.132,6,14
204.38.48.20,32,64
192.122.184.174,0,2
198.108.148.3,8,16
141.211.217.254,2,4
207.74.23.82,0,1
35.8.33.233,1,2
153.106.200.141,32,64
204.39.195.18,0,2
198.109.227.133,16,32
141.209.28.109,2,4
141.211.3.8,5,12
198.110.57.6,6,16
198.111.152.210,6,14
141.211.186.142,5,16
192.122.184.181,0,2
207.74.195.251,5,16
198.110.192.61,0,2
141.212.115.162,1,4
141.211.3.18,2,4
141.211.79.94,1,2
136.228.35.100,6,12
35.9.66.226,2,4
141.211.54.245,8,16
35.8.234.133,11,24
141.214.120.19,32,64
198.108.218.99,11,24
141.210.164.133,0,2
141.211.235.14,2,8
141.219.171.155,0,1
141.212.114.122,0,1
198.110.48.207,0,2
198.111.214.21,32,64
141.217.8.159,1,8
141.214.120.65,8,16
141.217.156.5,4,8
141.214.120.46,1,2
141.193.178.147,0,2
173.225.176.184,0,4
153.106.200.45,1,2
141.193.178.170,1,2
136.228.35.105,2,4
141.211.28.51,0,2
141.211.3.80,1,2
35.8.12.96,0,4
192.122.184.203,1,2
173.225.189.141,4,8
141.193.178.237,16,32
141.212.113.214,1,2
141.214.9.142,0,1
141.211.3.81,1,2
141.211.159.204,1,2
35.8.12.110,1,2
198.111.176.6,0,1
141.213.152.70,2,4
141.211.4.73,6,12
198.109.240.127,15,32
141.212.113.17,0,3
141.212.113.24,1,2
141.215.68.45,0,2
141.211.159.231,0,2
192.41.230.63,4,8
66.219.123.67,0,4
207.73.181.225,0,2
207.190.178.55,4,8
198.108.141.161,1,2
173.225.191.165,1,2
141.211.54.179,1,2
35.9.15.175,0,1
141.218.30.133,0,2
141.211.5.7,2,4
198.108.218.95,3,8
141.213.154.85,6,12
35.9.217.144,0,1
66.219.112.80,14,32
141.193.178.162,1,2
207.75.117.70,1,2
198.109.240.116,0,2
141.211.168.174,3,8
136.228.34.20,3,6
136.228.36.55,1,2
136.228.36.163,6,12
198.108.148.37,1,4
204.38.89.152,0,2
35.9.15.185,0,4
164.76.2.229,1,2
198.108.51.125,1,2
207.74.117.90,1,2
35.8.32.48,0,1
207.74.26.210,0,2
198.111.188.195,8,16
141.211.212.73,0,3
141.211.217.49,1,4
141.211.3.59,1,2
141.211.184.32,0,2
141.193.178.204,1,2
164.76.158.123,8,16
141.193.178.203,1,2
153.106.169.12,2,4
141.214.9.170,1,4
198.110.199.87,0,2
141.211.54.145,0,2
164.76.7.112,1,2
141.193.177.203,4,8
136.228.38.44,0,1
198.108.220.151,3,8
136.228.38.47,1,4
141.211.3.4,0,4
141.216.10.250,3,6
35.9.75.35,0,1
198.110.48.182,4,16
69.58.32.253,1,2
198.110.192.205,1,2
207.73.217.19,0,8
198.110.48.180,6,12
198.109.240.223,7,16
207.73.213.91,1,2
153.106.124.134,1,2
141.217.20.79,12,24
141.211.182.81,7,16
141.193.177.137,1,2
153.106.200.142,1,2
141.214.2.72,24,48
208.68.24.161,8,16
35.8.12.189,0,1
141.217.97.35,1,2
35.9.123.47,8,16
198.108.199.10,6,16
141.217.8.150,0,4
198.111.188.208,2,4
198.108.220.111,1,2
141.211.55.34,1,4
192.108.188.184,4,16
141.211.3.23,0,1
141.193.177.209,6,16
192.92.13.162,2,4
207.74.61.88,4,8
204.39.195.30,0,3
204.39.94.35,0,2
206.57.199.41,0,2
198.108.199.6,0,3
192.122.184.168,15,32
141.214.172.192,16,32
198.108.140.137,1,2
141.213.3.38,8,16
141.214.172.194,0,2
141.211.3.10,6,16
141.214.16.54,0,3
35.8.100.231,1,2
204.38.88.154,0,2
141.211.28.122,0,2
141.211.182.128,4,8
153.106.200.183,1,2
198.109.240.117,0,7
164.76.158.81,14,32
141.211.182.246,32,64
141.211.7.210,14,32
141.211.32.200,6,12
141.211.159.182,0,4
35.8.232.17,8,16
204.38.89.156,12,32
141.211.3.51,0,2
141.216.78.178,2,4
198.108.148.239,1,4
141.212.115.152,1,2
35.8.223.221,3,6
198.108.218.108,0,2
141.212.114.53,3,12
141.212.113.117,0,4
141.214.172.248,0,2
198.245.194.108,1,2
136.228.56.136,2,4
198.109.240.128,0,3
141.211.168.186,1,4
141.211.4.9,32,64
198.111.176.67,0,2
141.212.115.203,0,1
35.9.75.201,0,2
35.9.68.166,1,2
198.110.48.178,5,12
74.3.176.120,0,2
141.212.114.224,32,64
141.212.114.235,6,16
141.211.235.34,7,16
141.212.115.153,1,2
35.9.188.68,0,2
67.194.232.72,0,2
141.216.78.134,0,2
192.41.230.55,0,1
35.8.72.137,1,2
173.225.184.132,1,2
136.228.54.5,1,2
35.8.12.15,16,32
141.193.177.136,1,2
69.58.58.243,16,32
35.39.164.232,128,256
35.9.75.36,0,1
141.212.114.156,4,8
141.214.65.176,0,2
141.211.54.201,0,2
148.61.6.121,0,2
141.193.177.109,0,2
141.193.178.244,5,16
198.108.192.7,0,1
141.211.3.57,8,16
173.225.184.214,1,2
141.211.25.230,1,2
141.211.217.103,0,1
207.75.186.85,0,1
141.218.142.103,1,4
141.193.177.237,6,12
207.75.164.160,16,32
198.111.67.120,2,4
153.106.200.160,4,8
192.122.184.167,0,4
207.75.164.39,0,1
204.38.22.31,5,16
141.211.21.140,0,1
66.202.198.69,1,2
69.58.58.242,2,4
136.228.35.41,4,8
141.211.4.181,8,16
141.193.177.152,1,2
35.9.15.138,0,1
198.108.218.114,15,32
141.211.184.98,3,8
35.9.67.220,2,4
35.8.12.55,1,2
141.211.182.49,14,32
141.214.9.154,4,8
136.228.35.8,1,2
198.110.6.120,0,2
207.74.195.200,64,128
141.211.54.215,0,2
141.217.156.6,13,32
141.211.216.195,0,2
198.110.200.31,16,32
198.108.51.55,0,2
141.219.64.200,4,8
141.211.235.33,14,32
147.124.1.42,0,2
141.193.178.212,4,8
141.218.145.131,1,2
141.214.120.33,0,2
147.124.11.151,1,4
198.109.27.9,24,48
141.211.79.146,1,2
35.9.188.69,1,2
141.193.178.224,4,8
141.211.4.78,6,12
207.190.177.219,1,2
141.211.3.16,0,1
163.253.36.236,1,2
141.193.177.173,0,3
66.202.198.73,0,2
136.228.56.126,0,1
199.242.31.60,1,2
141.214.65.186,1,2
141.209.15.214,0,2
141.211.159.233,1,2
204.39.195.9,0,2
155.139.3.34,32,64
141.211.217.111,0,4
141.193.178.210,1,2
141.193.178.178,16,32
153.106.195.20,1,4
141.193.177.236,2,4
208.68.25.60,3,6
136.228.36.72,1,2
141.211.4.117,1,4
69.58.58.240,32,64
192.122.184.171,0,4
141.219.177.171,1,2
64.49.113.128,1,2
141.211.7.216,0,3
35.9.66.215,1,2
161.57.100.1,0,4
141.211.55.23,0,2
141.211.216.209,0,2
141.216.10.57,6,12
204.38.48.101,2,4
141.214.2.60,1,2
35.12.4.31,8,16
208.68.25.14,0,1
141.214.9.163,16,32
69.58.58.200,0,7
141.211.4.14,8,16
141.211.182.114,1,2
136.228.36.47,1,2
198.108.199.24,4,8
35.9.75.21,0,2
204.38.89.153,2,4
141.211.33.82,16,32
141.211.54.234,2,4
141.193.177.170,4,8
35.8.12.26,0,1
198.110.199.73,1,2
136.228.36.46,1,4
207.74.28.10,0,1
66.202.198.78,4,8
141.211.217.8,32,64
35.9.188.64,1,2
141.211.4.162,1,2
173.225.184.142,1,2
136.228.37.54,0,1
198.109.24.71,15,32
164.76.158.50,0,2
141.211.4.25,8,16
141.214.16.93,1,2
