198.109.227.11,1,2
192.122.184.170,1,2
141.193.177.121,1,2
198.110.206.44,1,2
35.9.119.28,1,2
141.209.32.15,1,2
35.8.12.54,0,2
35.8.232.17,0,1
136.228.35.181,1,2
207.73.7.12,1,2
141.216.10.20,0,2
198.110.194.27,0,2
141.193.177.126,0,1
198.109.240.118,1,2
198.108.148.37,2,4
141.211.217.25,0,2
198.108.148.8,0,1
141.211.217.210,1,2
35.8.152.178,1,2
204.38.89.156,0,1
136.228.56.138,0,2
206.57.177.204,0,2
141.211.4.243,0,1
204.38.48.101,1,2
173.225.177.196,1,2
64.113.50.116,0,2
35.9.97.144,0,1
141.214.2.106,0,1
198.108.148.38,0,2
141.217.0.150,0,2
141.211.21.149,1,2
35.8.163.180,0,2
204.38.48.22,0,2
198.110.48.37,0,1
136.228.36.129,1,2
35.8.12.144,0,2
148.61.30.129,0,1
141.211.7.210,1,2
198.108.220.124,1,2
141.211.94.176,1,2
35.9.37.147,0,1
35.9.15.146,0,2
141.217.156.6,0,2
142.54.12.17,1,2
141.193.177.218,1,2
141.214.2.71,0,1
141.193.177.109,0,1
198.207.201.122,0,2
141.211.55.16,0,1
164.76.158.20,1,2
208.64.38.90,0,2
141.214.120.23,1,2
141.211.7.159,0,1
141.211.28.122,0,1
141.216.8.26,1,2
141.211.3.4,1,2
198.109.240.223,1,2
141.211.3.25,1,2
208.68.25.212,0,1
141.214.2.91,1,2
141.214.252.34,1,2
35.8.12.237,0,2
173.225.188.169,0,1
192.108.188.184,1,2
141.211.168.169,1,2
141.211.217.69,1,2
141.209.15.27,1,2
141.216.3.112,1,2
141.193.177.172,1,2
69.58.58.240,0,1
141.211.32.93,0,1
