35.8.12.230,0,2
35.8.202.24,1,2
192.122.184.171,0,1
198.108.199.6,0,1
141.217.20.206,0,1
35.8.133.113,0,1
141.211.55.55,0,2
207.190.178.55,1,2
141.211.4.141,1,2
207.75.234.46,0,1
136.228.34.19,1,2
141.217.42.231,0,1
141.214.174.69,0,1
141.217.1.240,1,2
136.228.56.126,1,2
141.211.186.142,1,2
198.110.203.36,1,2
141.217.0.40,0,1
173.225.177.120,0,1
141.211.212.71,0,2
35.8.12.151,0,1
141.217.97.4,0,2
141.193.178.215,1,2
148.61.6.54,0,2
141.211.186.145,0,1
141.211.7.153,1,2
35.39.164.211,1,2
141.215.69.54,1,2
141.211.182.161,1,2
141.219.106.96,1,2
141.212.115.154,1,2
141.217.20.41,1,2
192.41.230.63,1,2
207.74.117.70,0,2
