163.253.36.30,8,16
35.8.12.117,1,2
141.193.177.174,0,3
141.193.178.219,4,8
207.73.213.106,1,2
198.111.176.72,1,2
164.76.7.112,0,2
66.202.198.78,0,2
198.109.240.223,0,2
141.211.168.140,3,8
208.79.212.229,8,16
173.225.176.184,2,8
141.193.177.207,2,8
141.211.3.50,3,6
141.210.2.13,1,4
136.228.56.126,2,8
173.225.177.223,3,8
141.216.10.253,1,4
163.253.36.237,0,2
141.211.33.80,0,1
141.217.21.221,8,16
153.106.195.20,0,3
141.193.177.146,0,3
153.106.135.31,2,4
136.228.56.133,2,4
198.110.199.68,1,2
141.216.78.40,8,16
141.193.177.145,4,8
173.225.177.140,2,4
141.211.169.5,0,2
141.212.114.154,0,2
141.217.24.30,2,4
141.214.2.41,1,2
173.225.177.192,1,2
141.216.5.200,1,2
173.225.183.162,8,16
153.106.200.44,4,8
207.73.253.148,1,2
141.219.177.171,0,2
204.38.39.132,2,4
35.8.100.240,1,2
35.9.66.221,1,2
35.8.12.144,1,2
35.9.123.7,1,2
136.228.36.59,3,6
136.228.36.129,8,16
141.193.178.199,2,4
141.216.3.112,1,2
198.108.220.104,1,2
141.211.211.52,2,8
141.193.178.216,3,8
141.193.178.237,4,8
198.111.164.174,16,32
198.110.199.70,4,8
35.9.68.166,0,4
155.139.3.34,0,1
208.118.64.7,0,2
207.75.234.46,1,4
204.38.89.152,0,1
141.214.16.92,2,4
141.212.113.253,3,6
198.108.67.249,0,1
206.57.198.69,8,16
153.106.195.17,0,3
141.217.21.242,0,2
141.211.4.151,8,16
198.109.27.9,0,3
198.109.240.108,1,2
136.228.35.226,8,16
64.113.50.152,0,1
198.108.51.92,0,2
141.211.186.142,8,16
198.108.150.172,2,4
141.193.177.148,3,8
69.58.58.253,8,16
141.193.177.208,1,2
141.211.3.60,0,2
198.140.228.80,0,2
206.57.234.21,0,1
198.108.141.161,8,16
173.225.177.222,0,1
141.193.177.170,7,16
204.38.89.198,0,2
192.41.230.11,4,8
66.202.198.62,3,8
141.211.54.243,1,2
69.58.58.222,1,2
141.193.178.189,3,8
141.211.216.195,4,8
66.219.112.6,0,3
64.113.57.146,0,2
141.217.20.120,0,2
141.211.54.239,0,1
141.216.2.231,0,1
141.211.217.219,2,4
141.213.3.97,1,2
141.193.177.183,1,2
136.228.35.107,1,4
141.214.2.106,1,2
141.216.4.83,3,8
141.211.229.18,1,2
141.211.147.142,4,8
141.193.177.210,8,16
69.58.50.149,3,8
141.211.3.63,0,1
141.211.4.55,0,1
153.106.206.12,0,2
141.211.55.34,0,2
141.216.10.6,1,2
141.210.164.135,0,2
141.193.178.215,2,4
204.38.0.40,2,8
153.106.200.140,1,2
207.190.176.152,1,2
35.9.67.220,1,4
67.194.254.186,0,2
207.190.176.162,1,2
141.214.9.165,0,1
207.72.1.43,2,4
64.113.57.97,0,1
141.211.3.49,1,2
66.202.198.92,2,8
141.193.178.40,0,2
69.58.58.198,3,8
141.214.186.44,2,4
208.68.24.162,0,1
198.110.199.59,0,3
141.214.9.154,1,2
198.108.218.120,0,2
173.225.177.200,1,2
69.58.46.30,0,3
198.110.48.190,1,2
141.214.252.34,0,2
141.214.11.47,0,1
208.64.36.146,1,2
141.217.1.99,1,2
35.39.164.232,2,4
153.106.200.20,0,1
141.216.10.43,0,2
35.8.12.136,0,2
136.228.36.54,2,8
141.211.217.149,2,4
148.61.30.129,0,2
141.212.191.197,2,8
207.190.183.71,2,4
153.106.206.10,1,2
141.211.4.122,1,2
136.228.35.149,2,4
206.57.232.232,3,8
141.193.178.229,3,8
207.190.191.122,0,2
141.213.3.16,0,2
141.211.4.250,0,1
141.211.3.77,7,16
142.54.11.195,3,6
208.68.26.3,0,3
64.49.113.85,0,2
136.228.36.50,3,8
35.8.223.11,3,8
141.214.2.71,0,3
64.49.113.128,4,8
141.211.4.238,1,2
141.211.211.219,0,1
141.193.177.129,0,2
141.193.177.181,0,2
136.228.56.75,0,2
198.108.220.113,0,3
141.212.113.14,1,2
136.228.38.197,4,8
35.9.75.42,0,1
