141.219.188.21,0,1
198.109.227.133,16,32
64.113.59.196,1,2
35.8.224.104,7,16
64.113.50.190,1,2
198.109.71.15,16,32
155.139.3.34,16,32
204.38.48.20,16,32
141.193.177.101,16,32
141.214.11.47,16,32
141.193.178.176,16,32
141.211.55.242,16,32
141.193.179.64,0,4
198.111.176.72,16,32
35.8.48.11,1,2
141.211.184.98,16,32
141.214.9.171,16,32
198.108.141.254,16,32
164.76.158.176,16,32
141.214.9.155,16,32
141.193.178.220,16,32
173.225.184.140,16,32
141.217.0.150,16,32
141.213.3.34,16,32
74.3.177.237,1,2
141.193.177.28,0,1
35.9.209.132,16,32
35.8.12.141,1,2
199.16.184.151,0,2
198.108.148.37,16,32
141.193.177.32,0,1
192.122.184.174,0,2
198.110.48.124,16,32
35.9.67.220,16,32
198.108.255.6,16,32
141.193.178.240,16,32
141.210.164.136,16,32
207.74.195.249,16,32
35.8.115.5,1,2
192.153.163.31,16,32
141.212.114.224,16,32
64.113.59.74,0,2
141.211.254.100,16,32
141.214.120.39,16,32
141.193.178.38,1,2
141.216.10.72,16,32
207.73.213.76,16,32
198.111.181.32,16,32
207.73.213.114,16,32
141.212.115.165,16,32
136.228.36.149,16,32
141.217.21.118,16,32
199.16.185.168,0,1
208.79.212.228,0,1
141.211.3.81,16,32
141.211.229.18,16,32
141.211.182.114,16,32
141.213.137.198,16,32
64.113.59.69,0,4
198.111.176.169,1,2
207.75.116.209,1,2
141.216.2.231,16,32
64.113.59.134,0,1
141.193.177.152,16,32
207.75.134.99,16,32
69.58.50.71,16,32
141.217.21.244,1,2
141.193.179.98,0,4
64.113.59.128,1,2
35.8.12.81,1,2
136.228.38.65,16,32
136.228.36.64,16,32
141.217.20.206,16,32
35.8.12.95,0,3
141.193.178.189,16,32
198.110.194.2,16,32
198.245.194.133,16,32
141.193.177.164,16,32
141.193.179.4,0,1
142.54.11.195,16,32
204.11.33.85,0,4
141.211.4.38,16,32
198.109.240.121,16,32
64.113.50.209,2,4
141.217.20.236,16,32
74.3.176.39,0,2
141.211.55.28,16,32
141.218.158.131,16,32
136.228.36.49,16,32
141.211.217.210,16,32
208.64.36.8,0,1
136.228.36.47,16,32
64.113.59.48,0,2
198.109.240.126,16,32
66.202.198.90,16,32
204.38.12.107,3,8
141.211.153.14,16,32
198.108.199.10,16,32
141.211.149.73,1,2
136.228.36.71,16,32
198.111.176.15,16,32
141.211.200.108,16,32
141.211.32.77,16,32
136.228.38.72,16,32
198.108.220.114,16,32
141.214.2.91,16,32
